,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.64,0.03,0.07,0.02,0.02,0.06,0,0.03,0,0,0,0.07,0.02,0.04
1,0.08,0.76,0.01,0.04,0,0,0,0.03,0,0.01,0,0.05,0,0
2,0.13,0.02,0.42,0.01,0.26,0.02,0.01,0.01,0,0,0.02,0.07,0.02,0.01
3,0.15,0.21,0.01,0.46,0,0,0,0,0,0,0,0.13,0.02,0
4,0.14,0.01,0.63,0,0.11,0.03,0,0,0,0,0,0.04,0.01,0.02
5,0.02,0.01,0.04,0,0.01,0.68,0.03,0.16,0.01,0.01,0,0,0.01,0.01
6,0,0.01,0.01,0,0,0.02,0.57,0.09,0.21,0.05,0.01,0.04,0,0
7,0.01,0.09,0,0,0,0.03,0.27,0.51,0.04,0,0,0.04,0.01,0
8,0,0.01,0,0,0,0.02,0.18,0.13,0.53,0,0.01,0,0.11,0
9,0,0.01,0.01,0,0,0,0.13,0.04,0,0.76,0,0.03,0,0
10,0,0.01,0.03,0,0,0,0.01,0,0,0,0.93,0.01,0,0
11,0.06,0.02,0.05,0.03,0,0.01,0.03,0,0,0.01,0.01,0.73,0.04,0.01
12,0.1,0.01,0.02,0.02,0,0,0,0.03,0,0,0,0.29,0.47,0.06
13,0.05,0.01,0.01,0,0.02,0.01,0,0,0,0,0,0.03,0.11,0.77
